Date,Item_ID,Item_Type,Item_Name,Current_Stock,Min_Required,Avg_Usage_Per_Day,Restock_Lead_Time
10/1/2024,105,Consumable,Ventilator,1542,264,108,17
10/2/2024,100,Equipment,Ventilator,2487,656,55,12
10/3/2024,103,Equipment,Surgical Mask,2371,384,470,6
10/4/2024,103,Consumable,Surgical Mask,2038,438,207,15
10/5/2024,107,Equipment,IV Drip,2410,338,158,12
10/6/2024,109,Equipment,IV Drip,2258,402,386,26
10/7/2024,103,Consumable,IV Drip,387,210,207,24
10/8/2024,105,Equipment,IV Drip,123,502,257,11
10/9/2024,102,Consumable,Ventilator,790,751,16,20
10/10/2024,104,Equipment,Gloves,2448,28,418,5
10/11/2024,107,Equipment,Surgical Mask,3451,12,161,21
10/12/2024,106,Consumable,Surgical Mask,4510,207,254,8
10/13/2024,108,Consumable,X-ray Machine,3298,231,244,2
10/14/2024,108,Consumable,Gloves,789,515,230,24
10/15/2024,101,Consumable,Gloves,4719,239,198,24
10/16/2024,106,Equipment,Surgical Mask,3465,622,415,25
10/17/2024,107,Equipment,Gloves,466,372,106,26
10/18/2024,107,Consumable,X-ray Machine,2410,167,176,6
10/19/2024,108,Consumable,Ventilator,462,165,499,23
10/20/2024,101,Equipment,IV Drip,4317,667,59,18
10/21/2024,105,Equipment,X-ray Machine,228,452,458,17
10/22/2024,109,Consumable,IV Drip,2912,405,374,17
10/23/2024,108,Consumable,Surgical Mask,2206,315,392,1
10/24/2024,109,Consumable,Ventilator,2519,338,415,19
10/25/2024,104,Equipment,X-ray Machine,2730,354,342,4
10/26/2024,103,Consumable,Gloves,2100,525,31,2
10/27/2024,100,Equipment,Ventilator,835,634,426,7
10/28/2024,103,Consumable,X-ray Machine,4289,21,9,21
10/29/2024,105,Consumable,Ventilator,757,835,66,1
10/30/2024,100,Equipment,Surgical Mask,1415,444,110,9
10/31/2024,102,Consumable,Gloves,4900,665,470,25
11/1/2024,103,Consumable,IV Drip,3215,963,265,7
11/2/2024,108,Consumable,IV Drip,873,141,250,12
11/3/2024,101,Equipment,IV Drip,2275,896,238,5
11/4/2024,103,Equipment,X-ray Machine,4906,966,50,22
11/5/2024,103,Consumable,Ventilator,694,945,373,6
11/6/2024,103,Consumable,Gloves,139,520,65,8
11/7/2024,107,Consumable,Gloves,2341,991,92,24
11/8/2024,100,Equipment,X-ray Machine,3745,167,51,26
11/9/2024,101,Consumable,Gloves,4804,959,177,20
11/10/2024,109,Consumable,Gloves,3243,77,474,11
11/11/2024,109,Equipment,Ventilator,2706,578,158,6
11/12/2024,100,Consumable,Ventilator,2445,213,72,6
11/13/2024,104,Equipment,Ventilator,2902,385,27,5
11/14/2024,107,Consumable,X-ray Machine,1457,89,480,29
11/15/2024,103,Consumable,X-ray Machine,437,311,399,11
11/16/2024,102,Equipment,X-ray Machine,1732,612,378,26
11/17/2024,107,Equipment,Gloves,255,89,276,13
11/18/2024,102,Consumable,IV Drip,2149,235,127,17
11/19/2024,100,Consumable,Gloves,4707,21,137,26
11/20/2024,100,Equipment,Ventilator,2366,513,40,6
11/21/2024,104,Equipment,IV Drip,2964,143,414,14
11/22/2024,105,Equipment,Surgical Mask,3728,936,280,12
11/23/2024,105,Consumable,IV Drip,3842,196,334,23
11/24/2024,106,Consumable,Ventilator,2163,590,41,11
11/25/2024,108,Consumable,Ventilator,2186,325,130,8
11/26/2024,104,Consumable,Ventilator,215,554,346,1
11/27/2024,101,Consumable,Ventilator,484,815,473,25
11/28/2024,104,Equipment,Surgical Mask,2018,181,287,17
11/29/2024,109,Consumable,IV Drip,1278,647,426,28
11/30/2024,108,Consumable,Surgical Mask,1078,326,337,24
12/1/2024,101,Consumable,Gloves,1248,567,381,25
12/2/2024,101,Consumable,IV Drip,4032,295,319,29
12/3/2024,107,Consumable,Gloves,3363,260,332,25
12/4/2024,109,Equipment,Gloves,3456,165,360,26
12/5/2024,109,Equipment,Gloves,3638,753,328,21
12/6/2024,103,Equipment,Ventilator,4872,805,103,15
12/7/2024,106,Equipment,IV Drip,1024,39,470,1
12/8/2024,107,Equipment,X-ray Machine,1277,136,473,15
12/9/2024,102,Consumable,IV Drip,4625,82,294,4
12/10/2024,100,Consumable,Ventilator,2632,85,300,23
12/11/2024,103,Equipment,IV Drip,4957,107,444,16
12/12/2024,105,Equipment,Ventilator,1542,216,165,9
12/13/2024,109,Equipment,IV Drip,3817,560,161,4
12/14/2024,104,Equipment,IV Drip,1204,277,330,5
12/15/2024,104,Equipment,Gloves,1711,468,242,21
12/16/2024,106,Equipment,Surgical Mask,1714,768,256,15
12/17/2024,104,Equipment,IV Drip,3473,867,489,29
12/18/2024,104,Equipment,X-ray Machine,234,42,401,5
12/19/2024,103,Consumable,Surgical Mask,3832,700,420,28
12/20/2024,104,Consumable,X-ray Machine,2288,50,248,18
12/21/2024,104,Consumable,IV Drip,4909,208,388,28
12/22/2024,108,Equipment,Ventilator,2815,296,40,20
12/23/2024,104,Equipment,IV Drip,1726,672,422,25
12/24/2024,103,Equipment,Gloves,343,133,260,25
12/25/2024,107,Equipment,Ventilator,4101,597,425,4
12/26/2024,105,Consumable,X-ray Machine,2413,301,59,19
12/27/2024,105,Consumable,IV Drip,4485,478,484,2
12/28/2024,100,Equipment,IV Drip,3930,974,130,13
12/29/2024,101,Consumable,Ventilator,1434,585,4,21
12/30/2024,105,Equipment,IV Drip,4129,782,12,8
12/31/2024,109,Equipment,Surgical Mask,3919,699,388,23
1/1/2025,103,Equipment,X-ray Machine,1126,894,111,13
